Wins,Losses,Ties,MoneyWonLost
0,1,0,975.0
1,1,0,995.0
1,2,0,985.0
1,2,1,985.0
1,3,1,960.0
1,4,1,935.0
1,5,1,910.0
1,6,1,885.0
1,7,1,860.0
1,8,1,835.0
1,9,1,810.0
2,9,1,860.0
3,9,1,910.0
4,9,1,960.0
5,9,1,1010.0
5,10,1,985.0
5,11,1,960.0
5,12,1,935.0
6,12,1,985.0
6,13,1,960.0
6,14,1,935.0
6,15,1,910.0
6,16,1,885.0
6,17,1,860.0
6,18,1,835.0
6,19,1,810.0
6,20,1,785.0
7,20,1,835.0
7,21,1,810.0
8,21,1,860.0
8,22,1,835.0
9,22,1,885.0
9,23,1,860.0
9,24,1,835.0
9,25,1,810.0
9,26,1,785.0
9,27,1,760.0
9,28,1,735.0
9,29,1,710.0
10,29,1,760.0
11,29,1,810.0
11,30,1,785.0
11,31,1,760.0
11,32,1,735.0
11,33,1,710.0
11,34,1,685.0
11,35,1,660.0
11,36,1,635.0
